"title","author","subject","abstract","date"
"algorithmic syntactic causal identification","dhurim cakiqi, max a. little","artificial intelligence","causal identification in causal bayes nets (cbns) is an important tool in causal inference allowing the derivation of interventional distributions from observational distributions where this is possible in principle. however, most existing formulations of causal identification using techniques such as d-separation and do-calculus are expressed within the mathematical language of classical probability theory on cbns. however, there are many causal settings where probability theory and hence current causal identification techniques are inapplicable such as relational databases, dataflow programs such as hardware description languages, distributed systems and most modern machine learning algorithms. we show that this restriction can be lifted by replacing the use of classical probability theory with the alternative axiomatic foundation of symmetric monoidal categories. in this alternative axiomatization, we show how an unambiguous and clean distinction can be drawn between the general syntax of causal models and any specific semantic implementation of that causal model. this allows a purely syntactic algorithmic description of general causal identification by a translation of recent formulations of the general id algorithm through fixing. our description is given entirely in terms of the non-parametric admg structure specifying a causal model and the algebraic signature of the corresponding monoidal category, to which a sequence of manipulations is then applied so as to arrive at a modified monoidal category in which the desired, purely syntactic interventional causal model, is obtained. we use this idea to derive purely syntactic analogues of classical back-door and front-door causal adjustment, and illustrate an application to a more complex causal model.",2024-03-14
"enabling waypoint generation for collaborative robots using llms and mixed reality","cathy mengying fang, krzysztof zieliński, pattie maes, joe paradiso, bruce blumberg, mikkel baun kjærgaard","human-computer interaction","programming a robotic is a complex task, as it demands the user to have a good command of specific programming languages and awareness of the robot's physical constraints. we propose a framework that simplifies robot deployment by allowing direct communication using natural language. it uses large language models (llm) for prompt processing, workspace understanding, and waypoint generation. it also employs augmented reality (ar) to provide visual feedback of the planned outcome. we showcase the effectiveness of our framework with a simple pick-and-place task, which we implement on a real robot. moreover, we present an early concept of expressive robot behavior and skill generation that can be used to communicate with the user and learn new skills (e.g., object grasping).",2024-03-14
"bugs in large language models generated code","florian tambon, arghavan moradi dakhel, amin nikanjam, foutse khomh, michel c. desmarais, giuliano antoniol","software engineering","large language models (llms) for code have gained significant attention recently. they can generate code in different programming languages based on provided prompts, fulfilling a long-lasting dream in software engineering (se), i.e., automatic code generation. similar to human-written code, llm-generated code is prone to bugs, and these bugs have not yet been thoroughly examined by the community. given the increasing adoption of llm-based code generation tools (e.g., github copilot) in se activities, it is critical to understand the characteristics of bugs contained in code generated by llms. this paper examines a sample of 333 bugs collected from code generated using three leading llms (i.e., codegen, pangu-coder, and codex) and identifies the following 10 distinctive bug patterns: misinterpretations, syntax error, silly mistake, prompt-biased code, missing corner case, wrong input type, hallucinated object, wrong attribute, incomplete generation, and non-prompted consideration. the bug patterns are presented in the form of a taxonomy. the identified bug patterns are validated using an online survey with 34 llm practitioners and researchers. the surveyed participants generally asserted the significance and prevalence of the bug patterns. researchers and practitioners can leverage these findings to develop effective quality assurance techniques for llm-generated code. this study sheds light on the distinctive characteristics of llm-generated code.",2024-03-13
"formalizing date arithmetic and statically detecting ambiguities for the law","raphaël monat, aymeric fromherz, denis merigoux","programming languages","legal expert systems routinely rely on date computations to determine the eligibility of a citizen to social benefits or whether an application has been filed on time. unfortunately, date arithmetic exhibits many corner cases, which are handled differently from one library to the other, making faithfully transcribing the law into code error-prone, and possibly leading to heavy financial and legal consequences for users. in this work, we aim to provide a solid foundation for date arithmetic working on days, months and years. we first present a novel, formal semantics for date computations, and formally establish several semantic properties through a mechanization in the f* proof assistant. building upon this semantics, we then propose a static analysis by abstract interpretation to automatically detect ambiguities in date computations. we finally integrate our approach in the catala language, a recent domain-specific language for formalizing computational law, and use it to analyze the catala implementation of the french housing benefits, leading to the discovery of several date-related ambiguities.",2024-03-13
"jaxbind: bind any function to jax","jakob roth, martin reinecke, gordian edenhofer","instrumentation and methods for astrophysics","jax is widely used in machine learning and scientific computing, the latter of which often relies on existing high-performance code that we would ideally like to incorporate into jax. reimplementing the existing code in jax is often impractical and the existing interface in jax for binding custom code requires deep knowledge of jax and its c++ backend. the goal of jaxbind is to drastically reduce the effort required to bind custom functions implemented in other programming languages to jax. specifically, jaxbind provides an easy-to-use python interface for defining custom so-called jax primitives that support arbitrary jax transformations.",2024-03-13
"predictive analysis of tuberculosis treatment outcomes using machine learning: a karnataka tb data study at a scale","seshasai nath chinagudaba, darshan gera, krishna kiran vamsi dasu, uma shankar s, kiran k, anil singarajpure, shivayogappa.u, somashekar n, vineet kumar chadda, sharath b n","machine learning","tuberculosis (tb) remains a global health threat, ranking among the leading causes of mortality worldwide. in this context, machine learning (ml) has emerged as a transformative force, providing innovative solutions to the complexities associated with tb treatment.this study explores how machine learning, especially with tabular data, can be used to predict tuberculosis (tb) treatment outcomes more accurately. it transforms this prediction task into a binary classification problem, generating risk scores from patient data sourced from nikshay, india's national tb control program, which includes over 500,000 patient records.
data preprocessing is a critical component of the study, and the model achieved an recall of 98% and an auc-roc score of 0.95 on the validation set, which includes 20,000 patient records.we also explore the use of natural language processing (nlp) for improved model learning. our results, corroborated by various metrics and ablation studies, validate the effectiveness of our approach. the study concludes by discussing the potential ramifications of our research on tb eradication efforts and proposing potential avenues for future work. this study marks a significant stride in the battle against tb, showcasing the potential of machine learning in healthcare.",2024-03-13
"devbench: a comprehensive benchmark for software development","bowen li, wenhan wu, ziwei tang, lin shi, john yang, jinyang li, shunyu yao, chen qian, binyuan hui, qicheng zhang, zhiyin yu, he du, ping yang, dahua lin, chao peng, kai chen","computation and language","recent advancements in large language models (llms) have significantly enhanced their coding capabilities. however, existing benchmarks predominantly focused on simplified or isolated aspects of programming, such as single-file code generation or repository issue debugging, falling short of measuring the full spectrum of challenges raised by real-world programming activities. to this end, we propose devbench, a comprehensive benchmark that evaluates llms across various stages of the software development lifecycle, including software design, environment setup, implementation, acceptance testing, and unit testing. devbench features a wide range of programming languages and domains, high-quality data collection, and carefully designed and verified metrics for each task. empirical studies show that current llms, including gpt-4-turbo, fail to solve the challenges presented within devbench. analyses reveal that models struggle with understanding the complex structures in the repository, managing the compilation process, and grasping advanced programming concepts. our findings offer actionable insights for the future development of llms toward real-world programming applications. our benchmark is available at this https url",2024-03-13
"a picture is worth a thousand words: exploring diagram and video-based oop exercises to counter llm over-reliance","bruno pereira cipriano, pedro alves, paul denny","software engineering","much research has highlighted the impressive capabilities of large language models (llms), like gpt and bard, for solving introductory programming exercises. recent work has shown that llms can effectively solve a range of more complex object-oriented programming (oop) exercises with text-based specifications. this raises concerns about academic integrity, as students might use these models to complete assignments unethically, neglecting the development of important skills such as program design, problem-solving, and computational thinking. to address this, we propose an innovative approach to formulating oop tasks using diagrams and videos, as a way to foster problem-solving and deter students from a copy-and-prompt approach in oop courses. we introduce a novel notation system for specifying oop assignments, encompassing structural and behavioral requirements, and assess its use in a classroom setting over a semester. student perceptions of this approach are explored through a survey (n=56). generally, students responded positively to diagrams and videos, with video-based projects being better received than diagram-based exercises. this notation appears to have several benefits, with students investing more effort in understanding the diagrams and feeling more motivated to engage with the video-based projects. furthermore, students reported being less inclined to rely on llm-based code generation tools for these diagram and video-based exercises. experiments with gpt-4 and bard's vision abilities revealed that they currently fall short in interpreting these diagrams to generate accurate code solutions.",2024-03-13
"cleanagent: automating data standardization with llm-based agents","danrui qi, jiannan wang","machine learning","data standardization is a crucial part in data science life cycle. while tools like pandas offer robust functionalities, their complexity and the manual effort required for customizing code to diverse column types pose significant challenges. although large language models (llms) like chatgpt have shown promise in automating this process through natural language understanding and code generation, it still demands expert-level programming knowledge and continuous interaction for prompt refinement. to solve these challenges, our key idea is to propose a python library with declarative, unified apis for standardizing column types, simplifying the code generation of llm with concise api calls. we first propose dataprep.clean which is written as a component of the dataprep library, offers a significant reduction in complexity by enabling the standardization of specific column types with a single line of code. then we introduce the cleanagent framework integrating dataprep.clean and llm-based agents to automate the data standardization process. with cleanagent, data scientists need only provide their requirements once, allowing for a hands-free, automatic standardization process.",2024-03-13
"mastering text, code and math simultaneously via fusing highly specialized language models","ning ding, yulin chen, ganqu cui, xingtai lv, ruobing xie, bowen zhou, zhiyuan liu, maosong sun","computation and language","underlying data distributions of natural language, programming code, and mathematical symbols vary vastly, presenting a complex challenge for large language models (llms) that strive to achieve high performance across all three domains simultaneously. achieving a very high level of proficiency for an llm within a specific domain often requires extensive training with relevant corpora, which is typically accompanied by a sacrifice in performance in other domains. in this paper, we propose to fuse models that are already highly-specialized directly. the proposed fusing framework, ultrafuser, consists of three distinct specialists that are already sufficiently trained on language, coding, and mathematics. a token-level gating mechanism is introduced to blend the specialists' outputs. a two-stage training strategy accompanied by balanced sampling is designed to ensure stability. to effectively train the fused model, we further construct a high-quality supervised instruction tuning dataset, ultrachat 2, which includes text, code, and mathematical content. this dataset comprises approximately 300,000 instructions and covers a wide range of topics in each domain. experiments show that our model could simultaneously achieve mastery of the three crucial domains.",2024-03-13
