"movie_name","title","reviewer","review","date","ratings"
"city lights (1931)","lady and the tramp before animation and at the start of talkies one of the most wonderful films ever conceived and executed","quinoa","if there is one charlie chaplin film to recommend as others have pointed to in the past city lights is the one though chaplin played his tramp character superbly in other movies like modern times and the gold rush city lights displays the tramp at his funniest his bravest his most romantic and his most sympathetic its tough for filmmakers in recent days to bring the audience so close emotionally with the characters but its pulled off the film centers on three characters the tramp the quintessential funny homeless man who blends into the crowd but gets caught in predicaments he helps a drunken businessman myers a fine performance in his own right from suicide and becomes his on and off again friend that is when it suits him and doesnt notice his friends state the other person in the tramps life is the blind flower girl virginia cherrill one of the most absorbing beautiful and key female performances in silent film who are quite fond of each other despite the lack of total perception the emotional centerpiece comes in obtaining rent and eye surgery money which leads to a how else can i put it magical boxing match where its basically a  from the brutality and viscerality of a match in say raging bull though there is no dialog the film achieves a timelessness its essentially a tale of two loners who find each other lose each other and find each other again the last scene widely discussed by critics for decades is moving if not tearinducing and its never ever boring once you get along with the tramp you find the little things about him the reaction shots the little things he does after the usual big gag look to the ballroom scene for examples of this or when he gets a bottle of wine poured down his pants without the other guy noticing truth be told if this film makes you indifferent never watch chaplin again but if you give yourself to the film you may find its one of the most charming from the era or perhaps any era",2001-05-29,NA
"city lights (1931)","chaplins classic of humor and humanity","snow leopard","charlie chaplins city lights contains a blend of humor and humanity that make it memorable for everyone who watches it  although made very much in the oldfashioned silent film tradition much of it is timeless tooafter a few minutes of slapstick at the beginning charlies little tramp character makes two acquaintances  he meets a blind girl selling flowers who mistakes him for a rich man and the two become very fond of each other then he meets a real millionaire who is drunk depressed and about to commit suicide  in a comic scene the tramp persuades the millionaire not to go through with it making himself a devoted friendthe tramp soon learns that there is an operation that could give the girl her sight and tries to think of some way he could help  his scenes with the girl and her grandmother are moving while his determination to help lead him into some comic escapades  his attempt to win money in a boxing match being particularly funny and one of chaplins best comic pieces meanwhile when his millionaire friend is drunk he dotes on the tramp but when sober he forgets who the tramp is leading to more amusing scenes and occasional trouble for charlieall of the comedy leads up to a finale that is one of the bestremembered scenes in any film  city lights shows the power of the camera in the hands of a master who without words can move his audience or make them laugh  anyone who appreciates good cinema should see it at least once",2005-12-16,NA
"city lights (1931)","chaplins masterpieceand oh those last five minutes","euyeshima","city lights   out of charlie chaplin returns as the tramp and this time he falls in love with a blind girl virginia cherrill and sets out to help her the tramp eventually meets a suicidal drunk harry myers and their friendship leads to what might eventually help the girl he loveschaplin made great films before and after city lights but for my money this here is his greatest film as well as one of the greatest films ever made not only is it one of the funniest movies ever made but id also argue that its one of the greatest love stories if not the greatest it really says a lot when a movie can conqueror two genres at one time but city lights is simply one of the greatest movies ever madei think it says a lot that you get one classic scene after another and theres really not a weak spot to be found here being  it took some real guts for chaplin to deliver a silent film and i think he knew that he had to deliver something special because people had moved onto sound he certainly delivered something special as this here was easily the funniest film he had made up to this point the opening sequence with the introduction of the tramp was priceless and we got one hilarious scene after another from that point the scenes with the drunk are downright hilarious as is another scene where the tramp is trying to eat but without much success the cigar sequence is a masterpiece as is the by the water in fact the story between the tramp and the drunk would have made a terrific movie on its own just like the stuff with the tramp and the blind girl would have made a perfect film whats so special is that you get both stories wrapped up in one and it really deliverschaplin played the tramp countless times but he was never better than he is here just check out the timing in countless scenes including the boxing match and you cant help but be impressed with the actor myers also deserves a lot of credit as the drunk as his timing has to match that of chaplin throughout and the two men do a wonderful job together then youve got cherrill who wasnt a professional actor but the director makes her shine throughoutcity lights contains one great scene after another and all of the laughs lead up to one of the most powerful endings in film history theres really not enough great things that can be said about this film as it continues to get better with each passing year",2008-02-26,NA
"city lights (1931)","masterpiece","michaelelliott","i always thought this was one of charlie chaplins nicest most underappreciated silent movie gems then i discovered it really wasnt underrated its rated very high on most critics lists it may be that i usually hear about some of his other movies than i do this onepart of the reason i think so highly of this is simply that im a sentimentalist and story in this film is a very touching one its a romance between charlies tramp character no name and a blind girl who also had no name in this film virginia cherill who played the blind woman and had a wholesome pretty face which i found very attractiveim not always a huge fan of pantomime except for some great comedians of the era like chaplin harold lloyd and buster keaton but chaplin was so good at it and this is one of the last of dying breed as talkies were out in full force by  chaplin was at his best in silent movies anyway and his comedy routines are legendary he gave me a lot of laughs in this film as always and i particularly laughed i love slapstick at the boxing scene kudos too to harry myers as the eccentric millionairetheres a lot of drama as well as humor in this minute gem as the tramp tries to aid a blind girl raising money so she can get an operation to restore her sightcomedy romance drama with suffering all combine to make this an extraordinary piece of entertainment its hard to believe this movie was not up for one single academy award",2007-07-15,NA
"city lights (1931)","one of chaplins best  most endearing films","ccthemovieman","chaplin takes himself a little more seriously in city lights and the results are spectacular the musical score which chaplin composed for the film was one of the many highlights and even though charlies performance is much more dramatic than usual in some scenes the hilarious comedy for which he is known and loved is still abundant city lights is so well made that it is one of the very few movies in which the obvious flaws can be gladly overlooked yes you can clearly see the string holding chaplin up in the sidesplittingly funny boxing scene but who cares that is such classic slapstick that little things like that really dont matter besides lets keep in mind that this movie was made seventy years ago chaplin does a phenomenal job in his traditional role of the tramp and develops a perfectly convincing romantic relationship with the blind flower girl on the sidewalk his friendship with the drunken rich guy is hilarious but it also makes a significant comment about the problems of alcohol this is truly a great film which should not be forgotten",2000-12-22,NA
"city lights (1931)","you cant go wrong with charlie chaplin but city lights is even better than chaplins films usually are","anonymousmaxine","as always the little tramp is fleeing the long arm of the law when he is mistaken for a wealthy man by a blind girl selling flowers by the roadside while he longs to help her the tramp knows he cannot however when he is at his lowest he stumbles upon a drunken man who he helps out who may be able to help him in turn  if the two of them can sober up long enoughin response to seeing some modern trash posing as comedies recently little man norbit pluto nash  im looking at you i decided to check out some comedies that have stood the test of time  a few chaplin films being among them city lights is one of those film that you will think you have seen even when you have not i knew i had never actually seen it but the wonderful opening scene on the statue and the scenario of the blind girl by the side of the road were very familiar to me and i was right into it from the start as was often the case this film has a thin narrative but one that allows for several scenarios for chaplin to work his magic and so he does with some classic sequences across the whole filmthe statue scene is memorable for how he makes so much out of so little but the brilliant choreography of the boxing match had me rolling with laughter as it moved so beautifully and imaginatively around the ring chaplin is a master and this is just one of many films that shows it as he creates a great little clown that we care about but can also laugh at his support do no more than that  support him  but yet they are also roundly good cherrill provides attractive heart despite her simple character while myers garcia mann and a few others do good physical work alongside chaplincity lights is a really great film that is all the more impressive for still feeling fresh and funny more than seventy years after it was made the simple narrative is the frame but it is the wonderful and frequent setpieces that tickle and also stick in the mind so tonight you might be looking at your film queue with lots of modern comedies but it is worth bumping this classic to the top of the list instead",2008-06-22,NA
"city lights (1931)","wonderful setpieces make the film","bob the moo","once again chaplin plays his famous creation the beloved tramp the noble little fellow meets and falls in love with a blind flower girl she assumes he is wealthy man and offers him a flower which he attentively accepts with his last penny one night by chance he rescues a drunken millionaire from drowning the rich gentleman becomes a generous friend when drunk but doesnt recognize the tramp when sober chaplin takes the blind girl under his wing and takes flight with the millionaires money to cure her blindness city lights engaged a true genius in a graceful and touching performance which arouses profound feelings and joy with great simplicity of style and tragic tale each scene was the result of hardworking detail and planning",2008-04-19,NA
"city lights (1931)","a oneman virtuoso performance","nazifighterdavid","city lights united artists  written directed and starring charlie chaplin  l is a silent comedydrama released at the height of the sound era distributing a movie in the silent film tradition at the time when silents were considered a fad chaplin gambled with this production and made it pay off although chaplin hails the gold rush  as the one movie he would most want to be remembered city lights nearly dims out his gold rush and at the same time practically places his other silent masterpiece the circus  to oblivion city lights has stood the test of time balancing perfectly a mixture of comedy and drama but in chaplins case pathossubtitled a comedy romance in pantomime the story opens in the early morning where the mayor is dedicating a statue to the citizens of the city after the unveiling the crowd finds a little tramp charlie chaplin sleeping on the lap of one of the figures as he tries to climb down he encounters one problem after another this opening scene alone is priceless with such a great beginning chaplin adds in more comedic insertions blended into the plot the theme to city lights is remembered mainly about a tramps love for a blind girl however there is a subplot involving the tramps involvement with a millionaire drunk which by far takes up more time than the sentimental love story these two segments actually set the pattern first segment set in the afternoon finds charlie walking down the street examining a nude statue in a shop being annoyed by some newsboys making fun of his tattered clothing he encounters a beautiful blonde girl virginia cherrill selling flowers after she drops one of her flowers charlie notices her feeling about the sidewalk for it thus realizing shes blind smitten by her beauty he picks it up and pays her for it minutes later the slamming of a limousine door is heard with the girl believing the kind gentleman charlie to be a millionaire second segment set at night finds charlie encountering a drunk harry myers trying to commit suicide by drowning himself just as charlie is about to save him he in turn falls into the river the drunk in gratitude for saving his life takes charlie under his wing to accompany him to various night clubs until dawn by morning the millionaire now sober fails to recognize or remember charlie and orders orders his butler to escort this stranger out of his mansion this running gag thats repeated in the story might play itself as repetitious but chaplin manages to breathe new life and funnier routines through his encounters with the drunk and their all night binges by day charlie looks after the blind girl and worries when shes not at her usual corner selling flowers finding that shes ill and being cared by her grandmother florence lee whose behind with her rent and threatened with eviction charlie offers to help by obtaining and losing various jobs ranging from streetcleaning to fighting in a boxing match reading in a newspaper of a european doctor who restores sight for the blind charlie gives the girl  for an operation the money offered to him by the drunken millionaire who after sober accuses charlie of robbing him has his arrested and serving jail time the climatic finish is truly the best thing chaplin has ever done and certainly one not to be missedfeatured in the supporting cast are henry bergman allan garcia albert austin and hank mann while much has been discussed about chaplins performance his costar virginia cherrill as the blind girl no name given should not go without mention even though her future film career consisted of forgettable programmers and at one time being one of the future wives of film actor cary grant her performance is excellent by all means although its been said that future film star jean harlow  appears as an unbilled extra in the night club sequence she is visible in a surviving still photograph but no such scene appears in the finished product unlike the gold rush city lights had limited showings in revival houses in later years and was never allowed to be distributed to television being first introduced to city lights at new york citys revival movie house the regency theater formerly located on broadway and th street in  the memorable thing about this event are the roars of laughter from its theater packed audience there was one man probably a big fan reliving his childhood memories whose laughter almost drowned out the underscoring of the film no doubt he was having more fun watching this movie than anyone else watching city lights surrounded by an appreciative audience theater is one way to truly appreciate and experience the feel of silent film comedy and to think back as to how the audience reacted in same back in after chaplins death in december of  city lights along with his other silent features were not only resurrected for a new generation to endure but became readily available on video cassette at the time of chaplins th birthday  in later years city lights was frequently revived on various cable channels ranging from turner network television tnt in the early s american movie classics up to  and finally turner classic movies the complete musical soundtrack that accompanies city lights happens to be the original score composed to perfection by chaplin himself much has been written and said about city lights over the years to learn more about the making difficulties and long term preparations to city lights either watch kevin blownlows  documentary hollywood a celebration of the american silent film as narrated by james mason or brownlows other documentaries dedicated entirely to chaplins career including outtakes to city lights as well as scenes involving virginia cherrills temporary replacement georgia hale chaplins costar in the gold rush ",2003-02-15,NA
"city lights (1931)","true blind love","lugonian","this is my favorite chaplin film but i dont want that to diminish his other work either modern times was an outstanding work of social satire the gold rush was great slapstick and even the largelyneglected monsieur verdoux strikes a certain unforgettable tone chaplin didnt make a bad movie and im not even sure that cl is his best exactly but it is my favorite if only for the endingthat ending has been the subject of much comment here i think its a masterpiece in a single scene chaplins little tramp has never seemed less like a character and more like a living breathing human being its a monument to understated sentimentalityto me the rest of the film exists largely to set the context for that one magnificent piece of celluloid yes the boxing scene is great and the scene where he rescues the millionaire is also wonderful but its that ending that makes us all love this movie",2004-12-06,NA
"city lights (1931)","amusing comedy sets up spectacular ending","thunderbuck","a good deal of silent black and white cinema is a chore to endure but the cream of that era still manages to rise to the top and compete in its own unique and original way with the cinema that followed over the decades up to and including today a significant number of those films were written and performed by charlie chaplin and if you watched nothing other than the films he made from that period including this your appreciation of his genius and talent would flower and grow your vision of sincerity and generosity restore and your enchantment of the simpler and more genuine things in life embellish",2002-04-30,NA
